iter	MultiClass
0	1.43011711
1	1.154367931
2	1.002138912
3	0.9018468398
4	0.8230747362
5	0.7590307749
6	0.7102214182
7	0.6722531
8	0.6431017768
9	0.6121496734
10	0.5831447839
11	0.5655011301
12	0.5426212276
13	0.5289057516
14	0.5161622126
15	0.5027164231
16	0.4941771457
17	0.4851591484
18	0.4801729074
19	0.4721488941
20	0.4642931832
21	0.4576931706
22	0.454132603
23	0.4433465555
24	0.4382022509
25	0.4345674445
26	0.4293830146
27	0.425727596
28	0.4219412098
29	0.4162452552
30	0.4128501765
31	0.4104723866
32	0.4070257378
33	0.4041107082
34	0.4018053473
35	0.3994362923
36	0.3971512932
37	0.3946094461
38	0.3928853979
39	0.3908283139
40	0.3887357442
41	0.3854016896
42	0.384573294
43	0.3836081937
44	0.3796417332
45	0.3774257325
46	0.3758528876
47	0.3735584294
48	0.3719904461
49	0.3705060506
50	0.3695775559
51	0.3681509932
52	0.3669084926
53	0.3657004551
54	0.3648804884
55	0.3631315467
56	0.3615312357
57	0.360869072
58	0.3603772531
59	0.3586954767
60	0.3581077687
61	0.3569493966
62	0.3555544918
63	0.3543665246
64	0.3517026984
65	0.3497207948
66	0.3477266337
67	0.3474164275
68	0.3469650999
69	0.3463580158
70	0.3445468133
71	0.3440636439
72	0.3431708608
73	0.3423277984
74	0.3417672103
75	0.3415001099
76	0.3406511172
77	0.3400957144
78	0.3396301287
79	0.3389367919
80	0.3384496824
81	0.3376691161
82	0.3373755346
83	0.3364963171
84	0.335872624
85	0.3351272959
86	0.3346119733
87	0.3337773856
88	0.332796264
89	0.3306515951
90	0.3283065564
91	0.3254585487
92	0.3245068743
93	0.3240677711
94	0.3218827752
95	0.3212723437
96	0.3201348414
97	0.3193913591
98	0.3187350652
99	0.3176528871
100	0.3171200861
101	0.3161905794
102	0.3157824226
103	0.314749968
104	0.3144434929
105	0.3131844571
106	0.3130483763
107	0.3129876866
108	0.3118706383
109	0.3116734009
110	0.3109700675
111	0.3106620131
112	0.3103976573
113	0.3099859168
114	0.3098451858
115	0.3093345368
116	0.3090070058
117	0.3084931849
118	0.3083024118
119	0.3068909842
120	0.3066523319
121	0.3063079191
122	0.3061030094
123	0.3057465222
124	0.305287025
125	0.3050396051
126	0.3041923985
127	0.3040036303
128	0.3037937164
129	0.3032568239
130	0.3021356115
131	0.3019463992
132	0.3014938321
133	0.3013085099
134	0.3009456364
135	0.300690565
136	0.3004512504
137	0.3003547377
138	0.2996165864
139	0.2994001098
140	0.2992101189
141	0.2988890341
142	0.2986556009
143	0.2984728612
144	0.2983154547
145	0.29808222
146	0.2973658009
147	0.2971315295
148	0.2967276041
149	0.2960828397
150	0.2952942136
151	0.294960868
152	0.2942792975
153	0.2941739471
154	0.2940633665
155	0.2939225798
156	0.2924963861
157	0.2921339266
158	0.2919618001
159	0.2918454222
160	0.291746401
161	0.2911801152
162	0.2908974634
163	0.2908278468
164	0.2906867357
165	0.2904594965
166	0.2899550593
167	0.2897058967
168	0.2887955377
169	0.2886138136
170	0.2884108282
171	0.2882257441
172	0.2880976926
173	0.2878834387
174	0.2869592837
175	0.2864581911
176	0.2863755854
177	0.2858680823
178	0.2856703486
179	0.2855743682
180	0.2847928332
181	0.2846162374
182	0.2844754783
183	0.2843282425
184	0.2841083373
185	0.2838910186
186	0.2837069113
187	0.2826435098
188	0.2818318453
189	0.2816764307
190	0.2814868272
191	0.2814153811
192	0.2813318834
193	0.2810893087
194	0.2809631096
195	0.2808168721
196	0.2801955057
197	0.2799774225
198	0.2795792051
199	0.2789367378
200	0.2787121669
201	0.2785479241
202	0.2784092055
203	0.2780240478
204	0.2772671685
205	0.2763712196
206	0.2762633337
207	0.2761025141
208	0.275912075
209	0.2755417418
210	0.2753481264
211	0.2751561486
212	0.2743266313
213	0.2738102453
214	0.2736007487
215	0.2734245031
216	0.2732850346
217	0.2731510561
218	0.2726681459
219	0.2725528714
220	0.2724120399
221	0.2722641607
222	0.2718431251
223	0.2710574069
224	0.2703399
225	0.2698644364
226	0.26975349
227	0.2687052576
228	0.2686174162
229	0.2680263097
230	0.2673032988
231	0.2672015558
232	0.2670203177
233	0.2669698588
234	0.2660397607
235	0.2658892568
236	0.2658128949
237	0.2656341478
238	0.2654656482
239	0.2653720727
240	0.2648567338
241	0.2647740863
242	0.2645492978
243	0.2644822766
244	0.2644458659
245	0.2639938368
246	0.2632072913
247	0.2631415062
248	0.2626551011
249	0.2623816683
250	0.2623137299
251	0.2619256302
252	0.2617034066
253	0.2615520291
254	0.2614247355
255	0.2611388404
256	0.2610276047
257	0.2607980921
258	0.2606720875
259	0.2605605336
260	0.2604287389
261	0.2603009126
262	0.2600559795
263	0.2596375482
264	0.2594459916
265	0.2592801695
266	0.2591453285
267	0.2590747132
268	0.2589633403
269	0.2588089563
270	0.2586397275
271	0.258554442
272	0.2584368235
273	0.2584121644
274	0.2583465019
275	0.2582225637
276	0.2576894934
277	0.2572593632
278	0.2570459538
279	0.2569312398
280	0.2567810132
281	0.2566559533
282	0.2561399469
283	0.2560369034
284	0.2559849978
285	0.2559049603
286	0.2558410633
287	0.2557042604
288	0.2556432697
289	0.2554735041
290	0.2552395016
291	0.2551811679
292	0.2550511233
293	0.2548363994
294	0.2546890871
295	0.2544933261
296	0.2542505523
297	0.2540190396
298	0.2534112312
299	0.2533181811
300	0.2532113949
301	0.2528682738
302	0.252613837
303	0.2525778972
304	0.2525208297
305	0.2522959566
306	0.2521816541
307	0.2520425719
308	0.251972125
309	0.2518712542
310	0.2517731238
311	0.2516525532
312	0.2515713992
313	0.2514334374
314	0.2507584435
315	0.2506524095
316	0.2498392029
317	0.2497062331
318	0.2496090347
319	0.2494833505
320	0.2492097909
321	0.2491003139
322	0.2489739165
323	0.2487941075
324	0.2487069434
325	0.2484829781
326	0.2483812519
327	0.2482807169
328	0.2481386943
329	0.2480302837
330	0.2479452754
331	0.2473465003
332	0.2468113102
333	0.2467179839
334	0.2461925288
335	0.2458957484
336	0.2457662171
337	0.2457005222
338	0.245429918
339	0.2453625354
340	0.2452454046
341	0.2451435612
342	0.2445469783
343	0.2440758011
344	0.2436825594
345	0.2436046955
346	0.243565641
347	0.2435018024
348	0.2434114633
349	0.2428443522
350	0.2427247347
351	0.242636697
352	0.2425570514
353	0.2424436923
354	0.2423834801
355	0.2423143781
356	0.2420575682
357	0.2419151074
358	0.2418227806
359	0.2417833183
360	0.241374408
361	0.2412616608
362	0.2410877128
363	0.24103314
364	0.2409389813
365	0.2403133521
366	0.2401781147
367	0.2400283056
368	0.2399685309
369	0.2399023075
370	0.2397905868
371	0.2396668555
372	0.2395951846
373	0.23950548
374	0.2393915959
375	0.2392590143
376	0.2386287578
377	0.2385365997
378	0.2384735994
379	0.2383049863
380	0.2382080597
381	0.2378349243
382	0.2376491898
383	0.2369969319
384	0.2368790343
385	0.2367104134
386	0.236367695
387	0.2357433128
388	0.2356504584
389	0.2353736397
390	0.2352475817
391	0.2350331469
392	0.2349744886
393	0.234840603
394	0.2337910997
395	0.2336900335
396	0.2335738234
397	0.2334770692
398	0.2333005893
399	0.2332650706
400	0.2332044599
401	0.2330571947
402	0.2328852585
403	0.2327818961
404	0.2325879071
405	0.2324504365
406	0.2323779349
407	0.2323529222
408	0.2320416708
409	0.2320056846
410	0.2317840348
411	0.2313681943
412	0.2313181765
413	0.2311921086
414	0.231034512
415	0.230956933
416	0.2308985288
417	0.2307750033
418	0.2305453875
419	0.2303979896
420	0.2303016254
421	0.2301729462
422	0.2301060508
423	0.230010521
424	0.229967081
425	0.2298858836
426	0.2296958892
427	0.2295945631
428	0.2294751567
429	0.2293922375
430	0.2292492715
431	0.229155627
432	0.2289928276
433	0.2289192678
434	0.2288569105
435	0.2287439852
436	0.2287175944
437	0.228617358
438	0.2285236471
439	0.2283444278
440	0.2282974055
441	0.2282060228
442	0.228162501
443	0.227999587
444	0.2279482512
445	0.2279194015
446	0.2278617635
447	0.2275241772
448	0.2274569041
449	0.2273882093
450	0.2273295126
451	0.2272592781
452	0.2271116389
453	0.2270734139
454	0.2270443478
455	0.2269486773
456	0.2268830297
457	0.2268460643
458	0.2265301576
459	0.2260908512
460	0.2259746708
461	0.2258515574
462	0.2257741944
463	0.2253214194
464	0.2252521668
465	0.2251571183
466	0.2247751034
467	0.2246158172
468	0.2245881701
469	0.2244960079
470	0.2243398978
471	0.2242641256
472	0.2241652527
473	0.22386275
474	0.2237994668
475	0.223538466
476	0.223470511
477	0.2234349926
478	0.2233109037
479	0.2224167753
480	0.2223355878
481	0.222287467
482	0.2221664209
483	0.2220038687
484	0.2219342704
485	0.221845691
486	0.2217274083
487	0.2216219552
488	0.2212531395
489	0.2211900079
490	0.2211382278
491	0.2209545695
492	0.2208535982
493	0.2206874407
494	0.219885475
495	0.2195618025
496	0.2193315287
497	0.2192692171
498	0.2191282112
499	0.2190604098
