iter	Passed	Remaining
0	81	40889
1	101	25323
2	120	20033
3	137	17050
4	154	15302
5	173	14312
6	192	13528
7	209	12914
8	226	12342
9	246	12102
10	264	11766
11	279	11377
12	298	11191
13	313	10878
14	329	10656
15	347	10516
16	362	10289
17	376	10078
18	391	9906
19	406	9744
20	426	9720
21	444	9666
22	461	9578
23	481	9546
24	498	9467
25	513	9361
26	529	9271
27	545	9195
28	561	9122
29	579	9080
30	595	9002
31	610	8934
32	626	8861
33	643	8825
34	661	8783
35	679	8761
36	699	8747
37	715	8693
38	731	8648
39	748	8612
40	765	8566
41	782	8534
42	799	8498
43	815	8455
44	835	8444
45	851	8400
46	868	8370
47	893	8416
48	915	8427
49	930	8373
50	946	8337
51	962	8289
52	980	8266
53	998	8244
54	1014	8211
55	1030	8172
56	1045	8126
57	1064	8109
58	1079	8070
59	1100	8073
60	1117	8044
61	1132	8002
62	1147	7960
63	1165	7937
64	1183	7917
65	1202	7907
66	1218	7877
67	1233	7833
68	1249	7804
69	1264	7766
70	1282	7747
71	1297	7710
72	1315	7696
73	1332	7672
74	1347	7633
75	1360	7589
76	1377	7567
77	1396	7553
78	1415	7541
79	1431	7514
80	1446	7484
81	1461	7448
82	1474	7409
83	1493	7394
84	1509	7370
85	1527	7351
86	1542	7323
87	1557	7291
88	1574	7271
89	1592	7255
90	1611	7241
91	1628	7222
92	1645	7199
93	1662	7178
94	1679	7160
95	1693	7127
96	1712	7114
97	1727	7086
98	1745	7070
99	1760	7043
100	1776	7018
101	1793	7000
102	1809	6972
103	1830	6969
104	1846	6945
105	1864	6930
106	1878	6901
107	1893	6874
108	1912	6860
109	1929	6839
110	1949	6832
111	1963	6802
112	1978	6775
113	1993	6749
114	2008	6725
115	2024	6703
116	2040	6679
117	2056	6656
118	2073	6639
119	2092	6625
120	2109	6606
121	2123	6580
122	2145	6575
123	2160	6551
124	2175	6527
125	2189	6500
126	2206	6479
127	2220	6453
128	2234	6425
129	2248	6399
130	2266	6383
131	2281	6361
132	2297	6340
133	2312	6315
134	2331	6304
135	2349	6288
136	2365	6268
137	2380	6245
138	2396	6224
139	2412	6203
140	2430	6187
141	2448	6172
142	2464	6153
143	2480	6132
144	2494	6107
145	2510	6087
146	2528	6072
147	2547	6059
148	2568	6049
149	2585	6033
150	2607	6025
151	2624	6008
152	2648	6006
153	2663	5984
154	2676	5956
155	2689	5931
156	2707	5915
157	2722	5892
158	2739	5875
159	2754	5852
160	2771	5836
161	2786	5814
162	2802	5793
163	2818	5774
164	2834	5754
165	2852	5739
166	2867	5718
167	2884	5700
168	2902	5684
169	2917	5663
170	2933	5644
171	2951	5628
172	2967	5608
173	2984	5591
174	3003	5577
175	3020	5561
176	3035	5539
177	3051	5519
178	3066	5498
179	3082	5479
180	3101	5465
181	3116	5446
182	3131	5424
183	3147	5405
184	3164	5388
185	3183	5374
186	3199	5355
187	3219	5342
188	3236	5326
189	3250	5303
190	3266	5283
191	3278	5259
192	3294	5240
193	3310	5221
194	3326	5202
195	3339	5179
196	3358	5165
197	3376	5149
198	3394	5133
199	3412	5119
200	3428	5099
